"filename", "language", "PHP", "HTML", "Markdown", "JavaScript", "JSON", "CSS", "SQL", "SCSS", "XML", "YAML", "comment", "blank", "total"
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223711_create_years_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223729_create_majors_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223737_create_courses_table.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 40
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223825_create_tutors_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223842_create_labs_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223850_create_timeslots_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223858_create_exams_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_223948_create_courses_tutors_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_24_224010_create_exams_labs_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 32
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_28_210503_create_schedule_table.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 63
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_11_29_105913_add_ldap_columns_to_users_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"d:\IT7099_Project\Exam_Scheduling_Portal\database\migrations\2021_12_05_221346_create_invigilations_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
